Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
South,Wednesday Week 4,Broadchalke,Knighton Road,"Knighton Road, Broadchalke",2017-11-08,Wednesday,4,12:00,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
South,Wednesday Week 4,Broadchalke,School,"School, Broadchalke",2017-11-08,Wednesday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Saturday Week 4,Bromham,Highfield Road,"Highfield Road, Bromham",2017-11-11,Saturday,4,15:20,16:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
North,Saturday Week 4,Bromham,The Greyhound,"The Greyhound, Bromham",2017-11-11,Saturday,4,14:40,15:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
North,Saturday Week 4,Bromham,Westbrook,"Westbrook, Bromham",2017-11-11,Saturday,4,13:45,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
North,Tuesday Week 1,Broughton Gifford,The Fox Pub,"The Fox Pub, Broughton Gifford",2017-11-14,Tuesday,4,10:30,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Monday Week 1,Bulkington,The Well,"The Well, Bulkington",2017-11-13,Monday,4,11:05,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
South,Wednesday Week 2,Burbage,Taskers Lane lay-by,"Taskers Lane lay-by, Burbage",2017-11-22,Wednesday,4,12:05,12:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
South,Wednesday Week 2,Burbage,The Sprays,"The Sprays, Burbage",2017-11-22,Wednesday,4,11:35,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
South,Wednesday Week 2,Burbage,Village Hall,"Village Hall, Burbage",2017-11-22,Wednesday,4,10:30,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
North,Saturday Week 2,Cadley,Green near garage,"Green near garage, Cadley",2017-11-25,Saturday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/14
North,Tuesday Week 4,Castle Combe,By Market Cross,"By Market Cross, Castle Combe",2017-11-07,Tuesday,4,15:15,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
North,Wednesday Week 2,Chapmanslade,School (fortnightly stop),"School (fortnightly stop), Chapmanslade",2017-11-22,Wednesday,4,13:30,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Wednesday Week 4,Chapmanslade,School (fortnightly stop),"School (fortnightly stop), Chapmanslade",2017-11-08,Wednesday,4,13:30,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Monday Week 3,Cherhill,Church,"Church, Cherhill",2017-11-27,Monday,4,12:15,12:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Monday Week 3,Cherhill,Olivers Hill,"Olivers Hill, Cherhill",2017-11-27,Monday,4,12:40,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Tuesday Week 4,Chilmark,Hops Close,"Hops Close, Chilmark",2017-11-07,Tuesday,4,14:45,15:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Thursday Week 4,Chilton Foliat,Stagg Hill,"Stagg Hill, Chilton Foliat",2017-11-09,Thursday,4,13:00,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
South,Monday Week 1,Chirton,The Street,"The Street, Chirton",2017-11-13,Monday,4,13:35,14:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
South,Friday Week 4,Chitterne,Car Park near the Church,"Car Park near the Church, Chitterne",2017-11-10,Friday,4,11:40,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Thursday Week 1,Christian Malford,Village Hall,"Village Hall, Christian Malford",2017-11-16,Thursday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
South,Friday Week 2,Chute Cadley,Pond,"Pond, Chute Cadley",2017-11-24,Friday,4,10:55,11:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Friday Week 2,Chute Forest,Bus Shelter,"Bus Shelter, Chute Forest",2017-11-24,Friday,4,10:15,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Friday Week 4,Codford,School,"School, Codford",2017-11-10,Friday,4,13:10,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Wednesday Week 1,Colerne,Fosseway Close,"Fosseway Close, Colerne",2017-11-15,Wednesday,4,09:45,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 1,Colerne,Near School (fortnightly stop),"Near School (fortnightly stop), Colerne",2017-11-15,Wednesday,4,10:30,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 3,Colerne,Near School (fortnightly stop),"Near School (fortnightly stop), Colerne",2017-11-29,Wednesday,4,10:30,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
South,Friday Week 1,Collingbourne Ducis,New School,"New School, Collingbourne Ducis",2017-11-17,Friday,4,11:50,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 1,Collingbourne Ducis,West Farm,"West Farm, Collingbourne Ducis",2017-11-17,Friday,4,11:10,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 1,Collingbourne Kingston,Aughton,"Aughton, Collingbourne Kingston",2017-11-17,Friday,4,13:55,14:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
North,Monday Week 3,Compton Bassett,Briar Leaze,"Briar Leaze, Compton Bassett",2017-11-27,Monday,4,11:00,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Friday Week 1,Crudwell,The Dawneys,"The Dawneys, Crudwell",2017-11-17,Friday,4,11:30,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Friday Week 3,Dauntsey,School,"School, Dauntsey",2017-12-01,Friday,4,10:50,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Tuesday Week 1,Derry Hill,Lansdowne Hall,"Lansdowne Hall, Derry Hill",2017-11-14,Tuesday,4,14:30,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Wednesday Week 4,Dilton Marsh,Lyes Grove,"Lyes Grove, Dilton Marsh",2017-11-08,Wednesday,4,14:45,15:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
South,Tuesday Week 2,Dinton,School (fortnightly stop),"School (fortnightly stop), Dinton",2017-11-21,Tuesday,4,13:10,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
South,Tuesday Week 4,Dinton,School (fortnightly stop),"School (fortnightly stop), Dinton",2017-11-07,Tuesday,4,13:10,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
South,Tuesday Week 4,Dinton,Spracklands,"Spracklands, Dinton",2017-11-07,Tuesday,4,15:40,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
South,Saturday Week 1,East Gomeldon,Bus Turning Area (fortnightly stop),"Bus Turning Area (fortnightly stop), East Gomeldon",2017-11-18,Saturday,4,14:30,15:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Friday Week 3,East Gomeldon,Bus Turning Area (fortnightly stop),"Bus Turning Area (fortnightly stop), East Gomeldon",2017-12-01,Friday,4,14:45,15:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Friday Week 2,East Grafton,Coronation Hall,"Coronation Hall, East Grafton",2017-11-24,Friday,4,11:55,12:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Tuesday Week 3,East Grimstead,The Pond,"The Pond, East Grimstead",2017-11-28,Tuesday,4,11:55,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Saturday Week 2,East Harnham,Burford Road,"Burford Road, East Harnham",2017-11-25,Saturday,4,13:30,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/44
South,Tuesday Week 2,East Knoyle,Seymour Arms Pub,"Seymour Arms Pub, East Knoyle",2017-11-21,Tuesday,4,11:10,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
North,Wednesday Week 4,Edington,Post box,"Post box, Edington",2017-11-08,Wednesday,4,10:00,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
South,Friday Week 1,Enford,Water Lane,"Water Lane, Enford",2017-11-17,Friday,4,15:30,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 1,Everleigh,High Trees,"High Trees, Everleigh",2017-11-17,Friday,4,14:45,15:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Tuesday Week 3,Farley,Church,"Church, Farley",2017-11-28,Tuesday,4,11:10,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Wednesday Week 2,Figheldean,Oak Lane,"Oak Lane, Figheldean",2017-11-22,Wednesday,4,14:30,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
South,Tuesday Week 1,Firsdown,Great Croft,"Great Croft, Firsdown",2017-11-14,Tuesday,4,11:35,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Tuesday Week 1,Firsdown,Top Post Box,"Top Post Box, Firsdown",2017-11-14,Tuesday,4,11:55,12:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Tuesday Week 1,Ford,Green Lane,"Green Lane, Ford",2017-11-14,Tuesday,4,10:55,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Thursday Week 3,Fovant,Clays Orchard,"Clays Orchard, Fovant",2017-11-30,Thursday,4,12:00,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
South,Saturday Week 2,Fugglestone Red,Ramleaze Drive,"Ramleaze Drive, Fugglestone Red",2017-11-25,Saturday,4,15:25,15:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/44
North,Friday Week 2,Great Bedwyn,Church Street,"Church Street, Great Bedwyn",2017-11-24,Friday,4,13:20,13:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
North,Friday Week 2,Great Bedwyn,Village Hall (fortnightly stop),"Village Hall (fortnightly stop), Great Bedwyn",2017-11-24,Friday,4,11:00,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
North,Friday Week 4,Great Bedwyn,Village Hall (fortnightly stop),"Village Hall (fortnightly stop), Great Bedwyn",2017-11-10,Friday,4,11:10,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Friday Week 2,Great Bedwyn,Wansdyke Road,"Wansdyke Road, Great Bedwyn",2017-11-24,Friday,4,10:35,10:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
South,Wednesday Week 3,Great Cheverell,The Old School,"The Old School, Great Cheverell",2017-11-29,Wednesday,4,10:05,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
North,Thursday Week 1,Great Somerford,Near Volunteer Arms,"Near Volunteer Arms, Great Somerford",2017-11-16,Thursday,4,12:45,13:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
North,Thursday Week 1,Great Somerford,School,"School, Great Somerford",2017-11-16,Thursday,4,13:15,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
South,Thursday Week 3,Great Wishford,Farmyard opposite the Church,"Farmyard opposite the Church, Great Wishford",2017-11-30,Thursday,4,13:50,14:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
South,Tuesday Week 4,Hanging Langford,Post Box,"Post Box, Hanging Langford",2017-11-07,Tuesday,4,10:20,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Monday Week 3,Heddington,Amenities car park,"Amenities car park, Heddington",2017-11-27,Monday,4,14:55,15:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Friday Week 4,Heytesbury,St John’s,"St John’s, Heytesbury",2017-11-10,Friday,4,15:30,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Monday Week 3,Hilmarton,School Community Hall car park,"School Community Hall car park, Hilmarton",2017-11-27,Monday,4,10:15,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Thursday Week 2,Hindon,Bank House High Street (fortnightly stop),"Bank House High Street (fortnightly stop), Hindon",2017-11-23,Thursday,4,14:05,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Hindon,Bank House High Street (fortnightly stop),"Bank House High Street (fortnightly stop), Hindon",2017-11-09,Thursday,4,14:05,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
South,Thursday Week 2,Hindon,School (fortnightly stop),"School (fortnightly stop), Hindon",2017-11-23,Thursday,4,13:30,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Hindon,School (fortnightly stop),"School (fortnightly stop), Hindon",2017-11-09,Thursday,4,13:30,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
North,Wednesday Week 2,Holt,Little Parks,"Little Parks, Holt",2017-11-22,Wednesday,4,15:15,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Wednesday Week 1,Holt,The Elms (fortnightly stop),"The Elms (fortnightly stop), Holt",2017-11-15,Wednesday,4,15:30,16:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 3,Holt,The Elms (fortnightly stop),"The Elms (fortnightly stop), Holt",2017-11-29,Wednesday,4,15:30,16:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
South,Wednesday Week 4,Homington,The Manor,"The Manor, Homington",2017-11-08,Wednesday,4,10:50,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Tuesday Week 2,Hook,Drury Close,"Drury Close, Hook",2017-11-21,Tuesday,4,10:40,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
North,Tuesday Week 2,Hook,Lydiard Residential Park,"Lydiard Residential Park, Hook",2017-11-21,Tuesday,4,11:10,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
South,Tuesday Week 2,Horningsham,Village hall,"Village hall, Horningsham",2017-11-21,Tuesday,4,10:00,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
North,Thursday Week 1,Hullavington,By School,"By School, Hullavington",2017-11-16,Thursday,4,10:15,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
North,Thursday Week 1,Hullavington,Near garage/bus stop,"Near garage/bus stop, Hullavington",2017-11-16,Thursday,4,11:05,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
North,Monday Week 1,Keevil,Stocks Green,"Stocks Green, Keevil",2017-11-13,Monday,4,10:35,10:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
South,Thursday Week 2,Kilmington,Home Guard Car Park (fortnightly stop),"Home Guard Car Park (fortnightly stop), Kilmington",2017-11-23,Thursday,4,11:25,11:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Kilmington,Home Guard Car Park (fortnightly stop),"Home Guard Car Park (fortnightly stop), Kilmington",2017-11-09,Thursday,4,11:25,11:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
South,Thursday Week 2,Kilmington,School (fortnightly stop),"School (fortnightly stop), Kilmington",2017-11-23,Thursday,4,11:40,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Kilmington,School (fortnightly stop),"School (fortnightly stop), Kilmington",2017-11-09,Thursday,4,11:40,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
North,Saturday Week 1,Kington Langley,Village Hall,"Village Hall, Kington Langley",2017-11-18,Saturday,4,09:20,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/6
North,Thursday Week 1,Kington St Michael,Lodge Farm Nursery,"Lodge Farm Nursery, Kington St Michael",2017-11-16,Thursday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
North,Tuesday Week 4,Kington St Michael,Post Office,"Post Office, Kington St Michael",2017-11-07,Tuesday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
North,Tuesday Week 2,Kington St Michael,School (fortnightly stop),"School (fortnightly stop), Kington St Michael",2017-11-21,Tuesday,4,09:15,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
North,Tuesday Week 4,Kington St Michael,School (fortnightly stop),"School (fortnightly stop), Kington St Michael",2017-11-07,Tuesday,4,09:15,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
North,Tuesday Week 1,Lacock,High Street,"High Street, Lacock",2017-11-14,Tuesday,4,13:15,13:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
South,Saturday Week 1,Landford,Beech Grange,"Beech Grange, Landford",2017-11-18,Saturday,4,11:50,12:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Monday Week 1,Larkhill,Opposite School,"Opposite School, Larkhill",2017-11-13,Monday,4,15:20,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
North,Tuesday Week 2,Latton,By the phone box,"By the phone box, Latton",2017-11-21,Tuesday,4,13:20,13:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
South,Saturday Week 3,Laverstock,Elm Close,"Elm Close, Laverstock",2017-12-02,Saturday,4,14:45,15:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
South,Saturday Week 3,Laverstock,Napier Crescent,"Napier Crescent, Laverstock",2017-12-02,Saturday,4,14:10,14:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
North,Friday Week 1,Lea,Near School,"Near School, Lea",2017-11-17,Friday,4,10:20,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Thursday Week 3,Limpley Stoke,Uplands,"Uplands, Limpley Stoke",2017-11-30,Thursday,4,10:00,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
North,Friday Week 2,Little Bedwyn,Church Lane,"Church Lane, Little Bedwyn",2017-11-24,Friday,4,13:50,14:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
North,Saturday Week 3,Littleton Drew,Near old School,"Near old School, Littleton Drew",2017-12-02,Saturday,4,09:40,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/21
South,Wednesday Week 3,Littleton Pannell,Lay-by in High Street,"Lay-by in High Street, Littleton Pannell",2017-11-29,Wednesday,4,10:30,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
North,Tuesday Week 3,Lockeridge,Who’d a Thought It,"Who’d a Thought It, Lockeridge",2017-11-28,Tuesday,4,10:45,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
South,Saturday Week 4,Lover,St Mary’s Close,"St Mary’s Close, Lover",2017-11-11,Saturday,4,14:25,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/58
North,Friday Week 3,Lower Stanton,Near Green,"Near Green, Lower Stanton",2017-12-01,Friday,4,11:40,12:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
South,Wednesday Week 1,Lower Woodford,The Wheatsheaf,"The Wheatsheaf, Lower Woodford",2017-11-15,Wednesday,4,11:40,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
North,Tuesday Week 4,Luckington,Playing Fields,"Playing Fields, Luckington",2017-11-07,Tuesday,4,11:45,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
South,Tuesday Week 2,Ludwell,Coronation Close Bungalows,"Coronation Close Bungalows, Ludwell",2017-11-21,Tuesday,4,14:30,14:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
North,Saturday Week 2,Lydeway,Clock Inn Park,"Clock Inn Park, Lydeway",2017-11-25,Saturday,4,12:00,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/14
North,Tuesday Week 2,Lydiard Millicent,Sun Inn,"Sun Inn, Lydiard Millicent",2017-11-21,Tuesday,4,11:40,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
South,Friday Week 2,Milton Lilbourne,New Severalls,"New Severalls, Milton Lilbourne",2017-11-24,Friday,4,13:45,14:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
North,Tuesday Week 2,Minety,Bus shelter,"Bus shelter, Minety",2017-11-21,Tuesday,4,14:45,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
North,Tuesday Week 2,Minety,Derry Park,"Derry Park, Minety",2017-11-21,Tuesday,4,15:35,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
North,Saturday Week 1,Neston,Pitts Croft,"Pitts Croft, Neston",2017-11-18,Saturday,4,15:15,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/6
North,Tuesday Week 4,Nettleton,Long Leaze,"Long Leaze, Nettleton",2017-11-07,Tuesday,4,14:20,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
South,Friday Week 3,Newton Tony,The School,"The School, Newton Tony",2017-12-01,Friday,4,11:10,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Saturday Week 2,Nomansland,The Green (fortnightly stop),"The Green (fortnightly stop), Nomansland",2017-11-25,Saturday,4,09:30,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/44
South,Saturday Week 4,Nomansland,The Green (fortnightly stop),"The Green (fortnightly stop), Nomansland",2017-11-11,Saturday,4,09:30,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/58
North,Friday Week 1,Oaksey,Bendy Bow (fortnightly stop),"Bendy Bow (fortnightly stop), Oaksey",2017-11-17,Friday,4,13:15,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
