Mobile,Route,Community,Stop,Address,Longitude,Latitude,Date,Day,Frequency,Start,End,Timetable
South,Monday Week 3,Upavon,Fairfields,"Fairfields, Upavon",2017-11-27,Monday,4,11:15,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Monday Week 3,Upavon,Watson Close,"Watson Close, Upavon",2017-11-27,Monday,4,11:50,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
North,Tuesday Week 2,Upper Minety,Hovington Leaze,"Hovington Leaze, Upper Minety",2017-11-21,Tuesday,4,14:10,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
North,Friday Week 1,Upper Seagry,School (fortnightly stop),"School (fortnightly stop), Upper Seagry",2017-11-17,Friday,4,09:20,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Friday Week 3,Upper Seagry,School (fortnightly stop),"School (fortnightly stop), Upper Seagry",2017-12-01,Friday,4,09:20,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Tuesday Week 4,Upper Wraxall,The Green,"The Green, Upper Wraxall",2017-11-07,Tuesday,4,16:00,16:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
South,Friday Week 4,Upton Lovell,14a The Bungalow,"14a The Bungalow, Upton Lovell",2017-11-10,Friday,4,15:00,15:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Thursday Week 2,Urchfont,The Croft,"The Croft, Urchfont",2017-11-23,Thursday,4,13:50,14:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 2,Urchfont,The Green (fortnightly stop),"The Green (fortnightly stop), Urchfont",2017-11-23,Thursday,4,14:45,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 4,Urchfont,The Green (fortnightly stop),"The Green (fortnightly stop), Urchfont",2017-11-09,Thursday,4,14:45,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
South,Monday Week 1,Wedhampton,Telephone Box,"Telephone Box, Wedhampton",2017-11-13,Monday,4,10:10,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
North,Thursday Week 3,West Ashton,Orchard Close,"Orchard Close, West Ashton",2017-11-30,Thursday,4,15:15,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
South,Thursday Week 1,West Dean,Village Hall,"Village Hall, West Dean",2017-11-16,Thursday,4,14:45,15:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Thursday Week 1,West Grimstead,Greenfields,"Greenfields, West Grimstead",2017-11-16,Thursday,4,15:20,15:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Thursday Week 1,West Grimstead,Recreation Ground,"Recreation Ground, West Grimstead",2017-11-16,Thursday,4,15:40,15:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Saturday Week 2,West Harnham,Berkshire Road,"Berkshire Road, West Harnham",2017-11-25,Saturday,4,14:10,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/44
South,Wednesday Week 3,West Lavington,School,"School, West Lavington",2017-11-29,Wednesday,4,10:50,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
North,Tuesday Week 3,West Overton,Peacocks,"Peacocks, West Overton",2017-11-28,Tuesday,4,11:25,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
North,Thursday Week 3,Westwood,Post Office,"Post Office, Westwood",2017-11-30,Thursday,4,12:40,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
South,Thursday Week 1,Whiteparish,Ashmore Close (fortnightly stop),"Ashmore Close (fortnightly stop), Whiteparish",2017-11-16,Thursday,4,10:35,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Saturday Week 3,Whiteparish,Ashmore Close (fortnightly stop),"Ashmore Close (fortnightly stop), Whiteparish",2017-12-02,Saturday,4,11:45,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
South,Thursday Week 1,Whiteparish,School,"School, Whiteparish",2017-11-16,Thursday,4,11:10,12:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
North,Tuesday Week 1,Whitley,Reading Rooms,"Reading Rooms, Whitley",2017-11-14,Tuesday,4,11:15,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
South,Monday Week 1,Wilsford,Outside Lamberts,"Outside Lamberts, Wilsford",2017-11-13,Monday,4,11:00,11:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
North,Thursday Week 3,Wingfield,The Poplars Pub,"The Poplars Pub, Wingfield",2017-11-30,Thursday,4,14:05,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
North,Thursday Week 3,Winsley,Avonpark Retirement Village,"Avonpark Retirement Village, Winsley",2017-11-30,Thursday,4,10:40,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
North,Thursday Week 3,Winsley,School,"School, Winsley",2017-11-30,Thursday,4,11:20,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
South,Friday Week 3,Winterbourne Earls,Earls Manor Court,"Earls Manor Court, Winterbourne Earls",2017-12-01,Friday,4,14:00,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Friday Week 1,Winterbourne Earls,Glebe Hall (fortnightly stop),"Glebe Hall (fortnightly stop), Winterbourne Earls",2017-11-17,Friday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 3,Winterbourne Earls,Glebe Hall (fortnightly stop),"Glebe Hall (fortnightly stop), Winterbourne Earls",2017-12-01,Friday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Friday Week 2,Winterbourne Gunner,Camp,"Camp, Winterbourne Gunner",2017-11-24,Friday,4,15:20,15:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Tuesday Week 1,Winterslow,Village Hall (fortnightly stop),"Village Hall (fortnightly stop), Winterslow",2017-11-14,Tuesday,4,13:30,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Tuesday Week 3,Winterslow,Village Hall (fortnightly stop),"Village Hall (fortnightly stop), Winterslow",2017-11-28,Tuesday,4,13:30,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Monday Week 3,Woodborough,Church,"Church, Woodborough",2017-11-27,Monday,4,14:30,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Monday Week 3,Woodborough,Social Club Car Park,"Social Club Car Park, Woodborough",2017-11-27,Monday,4,14:55,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Saturday Week 4,Woodfalls,Opposite Post Office,"Opposite Post Office, Woodfalls",2017-11-11,Saturday,4,13:25,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/58
North,Monday Week 1,Worton,The School,"The School, Worton",2017-11-13,Monday,4,13:10,13:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
South,Tuesday Week 4,Wylye,The Bell Pub,"The Bell Pub, Wylye",2017-11-07,Tuesday,4,09:30,10:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Monday Week 3,Yatesbury,The Lymers,"The Lymers, Yatesbury",2017-11-27,Monday,4,11:45,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Wednesday Week 1,Yatton Keynell,Village Hall,"Village Hall, Yatton Keynell",2017-11-15,Wednesday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
South,Thursday Week 2,Zeals,43 Zeals Rise (fortnightly stop),"43 Zeals Rise (fortnightly stop), Zeals",2017-11-23,Thursday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Zeals,43 Zeals Rise (fortnightly stop),"43 Zeals Rise (fortnightly stop), Zeals",2017-11-09,Thursday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
South,Thursday Week 2,Zeals,School (fortnightly stop),"School (fortnightly stop), Zeals",2017-11-23,Thursday,4,10:35,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Zeals,School (fortnightly stop),"School (fortnightly stop), Zeals",2017-11-09,Thursday,4,10:35,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
